Country/Region,ObservationDate,Confirmed,Deaths,Recovered
Mainland China,02/15/2020,68347.0,1662.0,9294.0
Germany,02/15/2020,16.0,0.0,1.0
Italy,02/16/2020,3.0,0.0,0.0
France,02/16/2020,12.0,1.0,4.0
Spain,02/16/2020,2.0,0.0,2.0
Mainland China,02/16/2020,70446.0,1765.0,10748.0
US,02/16/2020,15.0,0.0,3.0
Germany,02/16/2020,16.0,0.0,1.0
France,02/17/2020,12.0,1.0,4.0
Italy,02/17/2020,3.0,0.0,0.0
Germany,02/17/2020,16.0,0.0,1.0
Spain,02/17/2020,2.0,0.0,2.0
Mainland China,02/17/2020,72364.0,1863.0,12455.0
US,02/17/2020,15.0,0.0,3.0
US,02/18/2020,15.0,0.0,3.0
Mainland China,02/18/2020,74139.0,2002.0,14199.0
Italy,02/18/2020,3.0,0.0,0.0
Germany,02/18/2020,16.0,0.0,12.0
Spain,02/18/2020,2.0,0.0,2.0
France,02/18/2020,12.0,1.0,4.0
Spain,02/19/2020,2.0,0.0,2.0
Mainland China,02/19/2020,74546.0,2114.0,15952.0
Germany,02/19/2020,16.0,0.0,12.0
France,02/19/2020,12.0,1.0,4.0
Italy,02/19/2020,3.0,0.0,0.0
US,02/19/2020,15.0,0.0,3.0
Spain,02/20/2020,2.0,0.0,2.0
Germany,02/20/2020,16.0,0.0,12.0
US,02/20/2020,15.0,0.0,3.0
Mainland China,02/20/2020,74999.0,2236.0,18002.0
Italy,02/20/2020,3.0,0.0,0.0
France,02/20/2020,12.0,1.0,4.0
Spain,02/21/2020,2.0,0.0,2.0
Italy,02/21/2020,20.0,1.0,0.0
US,02/21/2020,35.0,0.0,5.0
France,02/21/2020,12.0,1.0,4.0
Germany,02/21/2020,16.0,0.0,14.0
Mainland China,02/21/2020,75472.0,2236.0,18693.0
Italy,02/22/2020,62.0,2.0,1.0
US,02/22/2020,35.0,0.0,5.0
Germany,02/22/2020,16.0,0.0,14.0
Spain,02/22/2020,2.0,0.0,2.0
France,02/22/2020,12.0,1.0,4.0
Mainland China,02/22/2020,76922.0,2441.0,22687.0
Germany,02/23/2020,16.0,0.0,14.0
France,02/23/2020,12.0,1.0,4.0
US,02/23/2020,35.0,0.0,5.0
Mainland China,02/23/2020,76938.0,2443.0,23170.0
Spain,02/23/2020,2.0,0.0,2.0
Italy,02/23/2020,155.0,3.0,2.0
Mainland China,02/24/2020,77152.0,2593.0,24990.0
Spain,02/24/2020,2.0,0.0,2.0
Italy,02/24/2020,229.0,7.0,1.0
France,02/24/2020,12.0,1.0,4.0
US,02/24/2020,53.0,0.0,5.0
Germany,02/24/2020,16.0,0.0,14.0
Italy,02/25/2020,322.0,10.0,1.0
France,02/25/2020,14.0,1.0,11.0
Germany,02/25/2020,17.0,0.0,14.0
US,02/25/2020,53.0,0.0,6.0
Mainland China,02/25/2020,77660.0,2663.0,27650.0
Spain,02/25/2020,6.0,0.0,2.0
Spain,02/26/2020,13.0,0.0,2.0
Mainland China,02/26/2020,78065.0,2715.0,30053.0
France,02/26/2020,18.0,2.0,11.0
US,02/26/2020,59.0,0.0,6.0
Germany,02/26/2020,27.0,0.0,15.0
Italy,02/26/2020,453.0,12.0,3.0
Italy,02/27/2020,655.0,17.0,45.0
Spain,02/27/2020,15.0,0.0,2.0
US,02/27/2020,60.0,0.0,6.0
France,02/27/2020,38.0,2.0,11.0
Germany,02/27/2020,46.0,0.0,16.0
Mainland China,02/27/2020,78498.0,2744.0,32898.0
Mainland China,02/28/2020,78824.0,2788.0,36291.0
US,02/28/2020,62.0,0.0,7.0
Italy,02/28/2020,888.0,21.0,46.0
Spain,02/28/2020,32.0,0.0,2.0
Germany,02/28/2020,48.0,0.0,16.0
France,02/28/2020,57.0,2.0,11.0
Spain,02/29/2020,45.0,0.0,2.0
France,02/29/2020,100.0,2.0,12.0
Mainland China,02/29/2020,79251.0,2835.0,39279.0
Germany,02/29/2020,79.0,0.0,16.0
US,02/29/2020,70.0,1.0,7.0
Italy,02/29/2020,1128.0,29.0,46.0
Mainland China,03/01/2020,79826.0,2870.0,42118.0
Germany,03/01/2020,130.0,0.0,16.0
Italy,03/01/2020,1694.0,34.0,83.0
Spain,03/01/2020,84.0,0.0,2.0
France,03/01/2020,130.0,2.0,12.0
US,03/01/2020,76.0,1.0,7.0
Spain,03/02/2020,120.0,0.0,2.0
France,03/02/2020,191.0,3.0,12.0
Italy,03/02/2020,2036.0,52.0,149.0
Mainland China,03/02/2020,80026.0,2912.0,44810.0
Germany,03/02/2020,159.0,0.0,16.0
US,03/02/2020,101.0,6.0,7.0
France,03/03/2020,204.0,4.0,12.0
US,03/03/2020,122.0,7.0,8.0
Italy,03/03/2020,2502.0,79.0,160.0
Germany,03/03/2020,196.0,0.0,16.0
Spain,03/03/2020,165.0,1.0,2.0
Mainland China,03/03/2020,80151.0,2945.0,47404.0
Mainland China,03/04/2020,80271.0,2981.0,49955.0
Spain,03/04/2020,222.0,2.0,2.0
US,03/04/2020,153.0,11.0,8.0
Germany,03/04/2020,262.0,0.0,16.0
Italy,03/04/2020,3089.0,107.0,276.0
France,03/04/2020,285.0,4.0,12.0
Germany,03/05/2020,482.0,0.0,16.0
US,03/05/2020,221.0,12.0,8.0
Spain,03/05/2020,259.0,3.0,2.0
Italy,03/05/2020,3858.0,148.0,414.0
Mainland China,03/05/2020,80422.0,3013.0,52240.0
France,03/05/2020,377.0,6.0,12.0
Germany,03/06/2020,670.0,0.0,17.0
Italy,03/06/2020,4636.0,197.0,523.0
US,03/06/2020,278.0,14.0,8.0
Spain,03/06/2020,400.0,5.0,2.0
France,03/06/2020,653.0,9.0,12.0
Mainland China,03/06/2020,80573.0,3042.0,53888.0
Spain,03/07/2020,500.0,10.0,30.0
France,03/07/2020,949.0,11.0,12.0
Italy,03/07/2020,5883.0,233.0,589.0
Mainland China,03/07/2020,80652.0,3070.0,55478.0
US,03/07/2020,417.0,17.0,8.0
Germany,03/07/2020,799.0,0.0,18.0
Spain,03/08/2020,673.0,17.0,30.0
Mainland China,03/08/2020,80699.0,3097.0,57320.0
France,03/08/2020,1126.0,19.0,12.0
Germany,03/08/2020,1040.0,0.0,18.0
Italy,03/08/2020,7375.0,366.0,622.0
US,03/08/2020,537.0,21.0,8.0
Spain,03/09/2020,1073.0,28.0,32.0
US,03/09/2020,605.0,22.0,8.0
Mainland China,03/09/2020,80735.0,3120.0,58735.0
France,03/09/2020,1209.0,19.0,12.0
Italy,03/09/2020,9172.0,463.0,724.0
Germany,03/09/2020,1176.0,2.0,18.0
Germany,03/10/2020,1457.0,2.0,18.0
Mainland China,03/10/2020,80757.0,3136.0,60106.0
Spain,03/10/2020,1695.0,35.0,32.0
France,03/10/2020,1784.0,33.0,12.0
US,03/10/2020,959.0,28.0,8.0
Italy,03/10/2020,10149.0,631.0,724.0
US,03/11/2020,1281.0,36.0,8.0
Spain,03/11/2020,2277.0,54.0,183.0
Germany,03/11/2020,1908.0,3.0,25.0
Italy,03/11/2020,12462.0,827.0,1045.0
Mainland China,03/11/2020,80785.0,3158.0,61569.0
France,03/11/2020,2284.0,48.0,12.0
France,03/12/2020,2284.0,48.0,12.0
Mainland China,03/12/2020,80793.0,3169.0,62824.0
Spain,03/12/2020,2277.0,55.0,183.0
Italy,03/12/2020,12462.0,827.0,1045.0
US,03/12/2020,1663.0,40.0,12.0
Germany,03/12/2020,2078.0,3.0,25.0
Italy,03/13/2020,17660.0,1266.0,1439.0
Spain,03/13/2020,5232.0,133.0,193.0
Mainland China,03/13/2020,80801.0,3176.0,64109.0
Germany,03/13/2020,3675.0,7.0,46.0
US,03/13/2020,2179.0,47.0,12.0
France,03/13/2020,3667.0,79.0,12.0
Mainland China,03/14/2020,80827.0,3189.0,65572.0
Spain,03/14/2020,6391.0,195.0,517.0
Germany,03/14/2020,4585.0,9.0,46.0
France,03/14/2020,4480.0,91.0,12.0
US,03/14/2020,2726.0,54.0,12.0
Italy,03/14/2020,21157.0,1441.0,1966.0
France,03/15/2020,4513.0,91.0,12.0
US,03/15/2020,3499.0,63.0,12.0
Italy,03/15/2020,24747.0,1809.0,2335.0
Mainland China,03/15/2020,80848.0,3199.0,66926.0
Germany,03/15/2020,5795.0,11.0,46.0
Spain,03/15/2020,7798.0,289.0,517.0
Germany,03/16/2020,7272.0,17.0,67.0
Mainland China,03/16/2020,80867.0,3213.0,67816.0
Italy,03/16/2020,27980.0,2158.0,2749.0
France,03/16/2020,6650.0,148.0,12.0
US,03/16/2020,4632.0,85.0,17.0
Spain,03/16/2020,9942.0,342.0,530.0
Mainland China,03/17/2020,80884.0,3226.0,68700.0
Spain,03/17/2020,11748.0,533.0,1028.0
Germany,03/17/2020,9257.0,24.0,67.0
France,03/17/2020,7683.0,148.0,12.0
US,03/17/2020,6421.0,108.0,17.0
Italy,03/17/2020,31506.0,2503.0,2941.0
Germany,03/18/2020,12327.0,28.0,105.0
France,03/18/2020,9052.0,148.0,12.0
US,03/18/2020,7786.0,118.0,106.0
Spain,03/18/2020,13910.0,623.0,1081.0
Italy,03/18/2020,35713.0,2978.0,4025.0
Mainland China,03/18/2020,80906.0,3237.0,69653.0
Germany,03/19/2020,15320.0,44.0,113.0
Italy,03/19/2020,41035.0,3405.0,4440.0
US,03/19/2020,13680.0,200.0,108.0
Spain,03/19/2020,17963.0,830.0,1107.0
France,03/19/2020,10886.0,243.0,12.0
Mainland China,03/19/2020,80931.0,3245.0,70430.0
Mainland China,03/20/2020,80977.0,3249.0,71158.0
Italy,03/20/2020,47021.0,4032.0,4440.0
Spain,03/20/2020,20410.0,1043.0,1588.0
Germany,03/20/2020,19848.0,67.0,180.0
France,03/20/2020,12632.0,450.0,12.0
US,03/20/2020,19101.0,244.0,147.0
Germany,03/21/2020,22213.0,84.0,233.0
Mainland China,03/21/2020,81014.0,3255.0,71749.0
Spain,03/21/2020,25374.0,1375.0,2125.0
Italy,03/21/2020,53578.0,4825.0,6072.0
US,03/21/2020,25514.0,307.0,171.0
France,03/21/2020,14308.0,562.0,12.0
Spain,03/22/2020,28603.0,1756.0,2125.0
Germany,03/22/2020,24873.0,94.0,266.0
Italy,03/22/2020,59138.0,5476.0,7024.0
France,03/22/2020,16214.0,676.0,2201.0
US,03/22/2020,33848.0,427.0,0.0
Mainland China,03/22/2020,81060.0,3261.0,72252.0
Mainland China,03/23/2020,81116.0,3270.0,72709.0
France,03/23/2020,20123.0,862.0,2207.0
US,03/23/2020,43663.0,552.0,0.0
Italy,03/23/2020,63927.0,6077.0,7432.0
Germany,03/23/2020,29056.0,123.0,453.0
Spain,03/23/2020,35136.0,2311.0,3355.0
US,03/24/2020,53736.0,706.0,348.0
Italy,03/24/2020,69176.0,6820.0,8326.0
Spain,03/24/2020,39885.0,2808.0,3794.0
Germany,03/24/2020,32986.0,157.0,3243.0
Mainland China,03/24/2020,81180.0,3277.0,73163.0
France,03/24/2020,22622.0,1102.0,3288.0
Mainland China,03/25/2020,81221.0,3281.0,73655.0
US,03/25/2020,65778.0,942.0,361.0
Germany,03/25/2020,37323.0,206.0,3547.0
Spain,03/25/2020,49515.0,3647.0,5367.0
Italy,03/25/2020,74386.0,7503.0,9362.0
France,03/25/2020,25600.0,1333.0,3907.0
Germany,03/26/2020,43938.0,267.0,5673.0
France,03/26/2020,29551.0,1698.0,4955.0
Spain,03/26/2020,57786.0,4365.0,7015.0
US,03/26/2020,83836.0,1209.0,681.0
Mainland China,03/26/2020,81298.0,3287.0,74055.0
Italy,03/26/2020,80589.0,8215.0,10361.0
Italy,03/27/2020,86498.0,9134.0,10950.0
Germany,03/27/2020,50871.0,342.0,6658.0
Spain,03/27/2020,65719.0,5138.0,9357.0
France,03/27/2020,33402.0,1997.0,5707.0
US,03/27/2020,101657.0,1581.0,869.0
Mainland China,03/27/2020,81345.0,3292.0,74594.0
Spain,03/28/2020,73235.0,5982.0,12285.0
Italy,03/28/2020,92472.0,10023.0,12384.0
Mainland China,03/28/2020,81401.0,3295.0,74972.0
US,03/28/2020,121465.0,2026.0,1072.0
Germany,03/28/2020,57695.0,433.0,8481.0
France,03/28/2020,38105.0,2317.0,5724.0
Italy,03/29/2020,97689.0,10779.0,13030.0
US,03/29/2020,140909.0,2467.0,2665.0
Germany,03/29/2020,62095.0,533.0,9211.0
Mainland China,03/29/2020,81444.0,3300.0,75454.0
Spain,03/29/2020,80110.0,6803.0,14709.0
France,03/29/2020,40708.0,2611.0,7226.0
Italy,03/30/2020,101739.0,11591.0,14620.0
Germany,03/30/2020,66885.0,645.0,13500.0
Spain,03/30/2020,87956.0,7716.0,16780.0
Mainland China,03/30/2020,81478.0,3304.0,75784.0
US,03/30/2020,161831.0,2978.0,5644.0
France,03/30/2020,45170.0,3030.0,7964.0
Spain,03/31/2020,95923.0,8464.0,19259.0
France,03/31/2020,52827.0,3532.0,9513.0
Mainland China,03/31/2020,81524.0,3305.0,76062.0
Italy,03/31/2020,105792.0,12428.0,15729.0
Germany,03/31/2020,71808.0,775.0,16100.0
US,03/31/2020,188172.0,3873.0,7024.0
Italy,04/01/2020,110574.0,13155.0,16847.0
Germany,04/01/2020,77872.0,920.0,18700.0
Spain,04/01/2020,104118.0,9387.0,22647.0
US,04/01/2020,213372.0,4757.0,8474.0
France,04/01/2020,57749.0,4043.0,11053.0
Mainland China,04/01/2020,81555.0,3312.0,76242.0
Spain,04/02/2020,112065.0,10348.0,26743.0
France,04/02/2020,59929.0,5398.0,12548.0
Mainland China,04/02/2020,81589.0,3318.0,76408.0
US,04/02/2020,243599.0,5926.0,9001.0
Italy,04/02/2020,115242.0,13915.0,18278.0
Germany,04/02/2020,84794.0,1107.0,22440.0
France,04/03/2020,65202.0,6520.0,14135.0
Mainland China,04/03/2020,81623.0,3322.0,76577.0
Germany,04/03/2020,91159.0,1275.0,24575.0
US,04/03/2020,275586.0,7087.0,9707.0
Spain,04/03/2020,119199.0,11198.0,30513.0
Italy,04/03/2020,119827.0,14681.0,19758.0
Spain,04/04/2020,126168.0,11947.0,34219.0
Mainland China,04/04/2020,81638.0,3326.0,76763.0
US,04/04/2020,308853.0,8407.0,14652.0
Germany,04/04/2020,96092.0,1444.0,26400.0
France,04/04/2020,90848.0,7574.0,15572.0
Italy,04/04/2020,124632.0,15362.0,20996.0
Mainland China,04/05/2020,81668.0,3329.0,76991.0
US,04/05/2020,337072.0,9619.0,17448.0
Spain,04/05/2020,131646.0,12641.0,38080.0
France,04/05/2020,93773.0,8093.0,16349.0
Germany,04/05/2020,100123.0,1584.0,28700.0
Italy,04/05/2020,128948.0,15887.0,21815.0
France,04/06/2020,98963.0,8926.0,17428.0
Spain,04/06/2020,136675.0,13341.0,40437.0
Mainland China,04/06/2020,81707.0,3331.0,77084.0
Italy,04/06/2020,132547.0,16523.0,22837.0
Germany,04/06/2020,103374.0,1810.0,28700.0
US,04/06/2020,366667.0,10783.0,19581.0
France,04/07/2020,110065.0,10343.0,19523.0
Mainland China,04/07/2020,81739.0,3331.0,77184.0
US,04/07/2020,396223.0,12722.0,21763.0
Spain,04/07/2020,141942.0,14045.0,43208.0
Germany,04/07/2020,107663.0,2016.0,36081.0
Italy,04/07/2020,135586.0,17127.0,24392.0
France,04/08/2020,113959.0,10887.0,21452.0
Italy,04/08/2020,139422.0,17669.0,26491.0
US,04/08/2020,429052.0,14695.0,23559.0
Mainland China,04/08/2020,81804.0,3333.0,77293.0
Germany,04/08/2020,113296.0,2349.0,46300.0
Spain,04/08/2020,148220.0,14792.0,48021.0
Germany,04/09/2020,118181.0,2607.0,52407.0
Italy,04/09/2020,143626.0,18279.0,28470.0
Mainland China,04/09/2020,81865.0,3335.0,77376.0
Spain,04/09/2020,153222.0,15447.0,52165.0
US,04/09/2020,461437.0,16478.0,25410.0
France,04/09/2020,118781.0,12228.0,23413.0
Italy,04/10/2020,147577.0,18849.0,30455.0
US,04/10/2020,496535.0,18586.0,28790.0
Spain,04/10/2020,158273.0,16081.0,55668.0
Mainland China,04/10/2020,81907.0,3336.0,77472.0
Germany,04/10/2020,122171.0,2767.0,53913.0
France,04/10/2020,125931.0,13215.0,25195.0
Mainland China,04/11/2020,81969.0,3339.0,77531.0
Germany,04/11/2020,124908.0,2736.0,57400.0
France,04/11/2020,130727.0,13851.0,26663.0
Spain,04/11/2020,163027.0,16606.0,59109.0
Italy,04/11/2020,152271.0,19468.0,32534.0
US,04/11/2020,526396.0,20462.0,31270.0
France,04/12/2020,133670.0,14412.0,27469.0
Mainland China,04/12/2020,82085.0,3339.0,77583.0
Spain,04/12/2020,166831.0,17209.0,62391.0
Italy,04/12/2020,156363.0,19899.0,34211.0
Germany,04/12/2020,127854.0,3022.0,60300.0
US,04/12/2020,555313.0,22019.0,32988.0
Italy,04/13/2020,159516.0,20465.0,35435.0
France,04/13/2020,137875.0,14986.0,28001.0
Mainland China,04/13/2020,82159.0,3341.0,77666.0
US,04/13/2020,580619.0,23528.0,43482.0
Germany,04/13/2020,130072.0,3194.0,64300.0
Spain,04/13/2020,170099.0,17756.0,64727.0
Germany,04/14/2020,131359.0,3294.0,68200.0
Spain,04/14/2020,172541.0,18056.0,67504.0
France,04/14/2020,131361.0,15748.0,29098.0
US,04/14/2020,607670.0,25831.0,47763.0
Mainland China,04/14/2020,82249.0,3341.0,77753.0
Italy,04/14/2020,162488.0,21067.0,37130.0
Mainland China,04/15/2020,82294.0,3342.0,77836.0
France,04/15/2020,134582.0,17188.0,31470.0
US,04/15/2020,636350.0,28325.0,52096.0
Spain,04/15/2020,177644.0,18708.0,70853.0
Italy,04/15/2020,165155.0,21645.0,38092.0
Germany,04/15/2020,134753.0,3804.0,72600.0
Italy,04/16/2020,168941.0,22170.0,40164.0
Spain,04/16/2020,184948.0,19315.0,74797.0
Germany,04/16/2020,137698.0,4052.0,77000.0
Mainland China,04/16/2020,82341.0,3342.0,77900.0
France,04/16/2020,147091.0,17941.0,33327.0
US,04/16/2020,667801.0,32916.0,54703.0
